Gene	pos.pvalue	pos.fdr	neg.pvalue	neg.fdr
RPL39	0.960358890701468	0.999673735725938	0.0396411092985318	0.592682926829268
RPL5	0.132463295269168	0.829591836734694	0.867536704730832	0.990556492411467
RPL8	0.620228384991843	0.979949874686717	0.362479608482871	0.862592592592593
RPS15A	0.637846655791191	0.979949874686717	0.339641109298532	0.862592592592593
RPS19	0.882218597063621	0.999673735725938	0.117781402936379	0.839080459770115
RPS26	0.975203915171289	0.999673735725938	0.0247960848287112	0.484375
RPS3A	0.253670473083197	0.946892655367231	0.746329526916803	0.990556492411467
RPS6	0.745024469820555	0.999673735725938	0.254975530179445	0.862592592592593
RPS7	0.944698205546493	0.999673735725938	0.0553017944535074	0.688
RPS9	0.766721044045677	0.999673735725938	0.233278955954323	0.862592592592593
RPSA	0.951060358890702	0.999673735725938	0.0489396411092985	0.666666666666666
RRM2B	0.996084828711256	0.999673735725938	0.00391517128874386	0.246666666666668
RSL24D1	0.437030995106036	0.963315217391305	0.562969004893964	0.962707182320442
SERPINB8	0.267699836867863	0.946892655367231	0.731647634584013	0.990556492411467
SESN2	0.690538336052202	0.999673735725938	0.309298531810767	0.862592592592593
SLC24A1	0.742414355628059	0.999673735725938	0.256280587275693	0.862592592592593
SLC6A11	0.511582381729201	0.963315217391305	0.488417618270799	0.935625
SLC7A1	0.637846655791191	0.979949874686717	0.339641109298532	0.862592592592593
SMAD4	0.542251223491028	0.963315217391305	0.457259380097879	0.934591194968554
SNAPC5	0.897879282218597	0.999673735725938	0.102120717781403	0.839080459770115
SNRNP200	0.999673735725938	0.999673735725938	0.000326264274062016	0.100000000000008
SPHK1	0.114355628058728	0.829591836734694	0.884665579119086	0.990556492411467
SRGAP2	0.0791190864600326	0.829591836734694	0.920717781402936	0.990556492411467
STK11	0.979934747145188	0.999673735725938	0.0194127243066884	0.44074074074074
TGFB1	0.770962479608483	0.999673735725938	0.228221859706362	0.862592592592593
TGFBR2	0.995595432300163	0.999673735725938	0.00424143556280587	0.246666666666668
THADA	0.105383360522023	0.829591836734694	0.894616639477977	0.990556492411467
TP53	0.827569331158238	0.999673735725938	0.172267536704731	0.862592592592593
TRHR	0.292822185970636	0.963315217391305	0.707177814029364	0.990556492411467
TSSAAVS1	0.578303425774878	0.963315217391305	0.379934747145188	0.862592592592593
TSSABCA13	0.350081566068515	0.963315217391305	0.649592169657423	0.982082324455206
TSSADAM17	0.0701468189233279	0.829591836734694	0.928058727569331	0.990556492411467
TSSADAT1	0.842088091353997	0.999673735725938	0.156280587275693	0.862592592592593
TSSAKT1	0.456443719412724	0.963315217391305	0.543393148450245	0.954441260744986
TSSALDH16A1	0.138172920065253	0.845967741935484	0.861663947797716	0.990556492411467
TSSATM	0.578303425774878	0.963315217391305	0.379934747145188	0.862592592592593
TSSATP7A	0.637846655791191	0.979949874686717	0.339641109298532	0.862592592592593
TSSATP7B	0.570309951060359	0.963315217391305	0.426427406199021	0.934591194968554
TSSATR	0.922022838499184	0.999673735725938	0.0779771615008157	0.753030303030303
TSSBCL2L1	0.998531810766721	0.999673735725938	0.00146818923327896	0.15
TSSBCL6B	0.578303425774878	0.963315217391305	0.379934747145188	0.862592592592593
TSSBECN1	0.82626427406199	0.999673735725938	0.173572593800979	0.862592592592593
TSSBRCA2	0.987928221859706	0.999673735725938	0.0109298531810766	0.319047619047618
TSSC1R	0.250407830342577	0.946892655367231	0.74910277324633	0.990556492411467
TSSCADM1	0.0802610114192496	0.829591836734694	0.919575856443719	0.990556492411467
TSSCCND1	0.714029363784666	0.999673735725938	0.285807504078303	0.862592592592593
TSSCDH4	0.578303425774878	0.963315217391305	0.379934747145188	0.862592592592593
TSSCELF1	0.999510603588907	0.999673735725938	0.000489396411093024	0.100000000000008
TSSCLEC2B	0.802446982055465	0.999673735725938	0.197553017944535	0.862592592592593
TSSCLSTN3	0.770962479608483	0.999673735725938	0.228221859706362	0.862592592592593
TSSDAG1	0.637846655791191	0.979949874686717	0.339641109298532	0.862592592592593
TSSE2F2	0.187112561174551	0.889147286821706	0.812398042414356	0.990556492411467
TSSEHMT2	0.913539967373573	0.999673735725938	0.0862969004893964	0.777941176470588
TSSEIF3G	0.803099510603589	0.999673735725938	0.196411092985318	0.862592592592593
TSSEIF5B	0.371941272430669	0.963315217391305	0.627732463295269	0.978894472361809
TSSEPC1	0.0760195758564437	0.829591836734694	0.922838499184339	0.990556492411467
TSSEPHA2	0.161174551386623	0.845967741935484	0.838172920065253	0.990556492411467
