Gene	pos.pvalue	pos.fdr	neg.pvalue	neg.fdr
candidate504	0.985870811654058	0.999994678303908	0.0316448399987805	0.637812590620167
candidate505	0.551854284309513	0.999240725923241	0.270021701083002	0.96381535756926
candidate506	0.57043718245497	0.999240725923241	0.565446180553372	0.988057856551754
candidate507	0.587764632115795	0.999240725923241	0.453542269223645	0.96381535756926
candidate508	0.711860862539982	0.999240725923241	0.0928117939779391	0.905106345331804
candidate509	0.8182598133853	0.999994678303908	0.269019233184004	0.96381535756926
candidate51	0.276420810946864	0.962247002915446	0.799984344167793	0.99601666216953
candidate510	0.962552197686645	0.999994678303908	0.0879234023060037	0.905106345331804
candidate511	0.883010934334396	0.999994678303908	0.216356808494562	0.96381535756926
candidate512	0.229061679604346	0.962247002915446	0.889069064084788	0.99601666216953
candidate513	0.776039925179547	0.999994678303908	0.242959905107314	0.96381535756926
candidate514	0.328115260007445	0.962247002915446	0.824307393746532	0.99601666216953
candidate515	0.79513229604647	0.999994678303908	0.304270223543013	0.96381535756926
candidate517	0.740307147509227	0.999994678303908	0.337776006900416	0.96381535756926
candidate518	0.396009876512457	0.967427988225044	0.77379767797991	0.99601666216953
candidate519	0.544423226626145	0.999240725923241	0.643578108199548	0.99601666216953
candidate52	0.773648429717804	0.999994678303908	0.339202080418851	0.96381535756926
candidate520	0.850741183383709	0.999994678303908	0.285162906758942	0.96381535756926
candidate521	0.464519434909051	0.999240725923241	0.668016182683937	0.99601666216953
candidate522	0.545806758079109	0.999240725923241	0.522740876821599	0.978251471144728
candidate523	0.569660089633824	0.999240725923241	0.476876770239765	0.96381535756926
candidate524	0.95922715929626	0.999994678303908	0.0997481793990113	0.905238192293776
candidate525	0.860206397935132	0.999994678303908	0.0940920857782588	0.905106345331804
candidate527	0.775451452936219	0.999994678303908	0.275500698979469	0.96381535756926
candidate528	0.110343967220662	0.962247002915446	0.953147810028118	0.99601666216953
candidate529	0.659879225882511	0.999240725923241	0.473801723612523	0.96381535756926
candidate530	0.83698797318613	0.999994678303908	0.302838919834547	0.96381535756926
candidate531	0.523703364233072	0.999240725923241	0.419959121935179	0.96381535756926
candidate532	0.738675468583282	0.999994678303908	0.327369051741968	0.96381535756926
candidate533	0.924849783172513	0.999994678303908	0.169400243636541	0.96381535756926
candidate534	0.180512578165897	0.962247002915446	0.346865078740534	0.96381535756926
candidate535	0.298179005929309	0.962247002915446	0.843861183490631	0.99601666216953
candidate536	0.20619173918838	0.962247002915446	0.793429862441988	0.99601666216953
candidate537	0.607280508130597	0.999240725923241	0.539027331072915	0.978251471144728
candidate538	0.149455325543409	0.962247002915446	0.837156758648878	0.99601666216953
candidate539	0.675128033662401	0.999240725923241	0.440337472087231	0.96381535756926
candidate54	0.413771892943086	0.967427988225044	0.550626987987919	0.978251471144728
candidate541	0.788334704940866	0.999994678303908	0.377306686512877	0.96381535756926
candidate543	0.306116506214753	0.962247002915446	0.830355450608813	0.99601666216953
candidate544	0.531147689211092	0.999240725923241	0.578702571321188	0.99601666216953
candidate545	0.473048216619236	0.999240725923241	0.0909868161969525	0.905106345331804
candidate546	0.296008787342632	0.962247002915446	0.811692435145782	0.99601666216953
candidate547	0.66567339831815	0.999240725923241	0.488288743499829	0.96381535756926
candidate549	0.0631402633329435	0.962247002915446	0.977065680870522	0.996736254736174
candidate55	0.398687487051455	0.967427988225044	0.760393626808114	0.99601666216953
candidate550	0.799471058680501	0.999994678303908	0.30549737311716	0.96381535756926
candidate552	0.429476912890257	0.989439858541335	0.510239042540269	0.971355692786288
candidate553	0.373605612421094	0.962247002915446	0.784012355868163	0.99601666216953
candidate554	0.706194516030478	0.999240725923241	0.305176508490054	0.96381535756926
candidate555	0.490030980475069	0.999240725923241	0.368858410165604	0.96381535756926
candidate556	0.567892203534417	0.999240725923241	0.623999098607174	0.99601666216953
candidate557	0.845728271820696	0.999994678303908	0.218007136457779	0.96381535756926
candidate558	0.254345775456191	0.962247002915446	0.872313132166947	0.99601666216953
candidate56	0.103453081911243	0.962247002915446	0.91050779654396	0.99601666216953
candidate560	0.153976700355974	0.962247002915446	0.92683754280651	0.99601666216953
candidate561	0.293829686703657	0.962247002915446	0.78117862735323	0.99601666216953
candidate562	0.536919311254577	0.999240725923241	0.587093074175229	0.99601666216953
candidate563	0.79090820545359	0.999994678303908	0.282377059601887	0.96381535756926
candidate564	0.773896280565374	0.999994678303908	0.242433947828946	0.96381535756926
candidate566	0.940981489999754	0.999994678303908	0.0850313806022128	0.905106345331804
candidate567	0.367257216499283	0.962247002915446	0.742566298902871	0.99601666216953
candidate568	0.0691199685047109	0.962247002915446	0.500984709490591	0.965734675841926
candidate569	0.802502580382418	0.999994678303908	0.326670468106229	0.96381535756926
candidate57	0.307731008588667	0.962247002915446	0.816122966905493	0.99601666216953
candidate570	0.553864579187836	0.999240725923241	0.630634125454996	0.99601666216953
candidate571	0.557499094694909	0.999240725923241	0.565755803669928	0.988057856551754
candidate572	0.826697053167673	0.999994678303908	0.0959737560302891	0.905106345331804
candidate573	0.698435661343503	0.999240725923241	0.43665258703916	0.96381535756926
candidate574	0.3335750731956	0.962247002915446	0.781829315469736	0.99601666216953
candidate575	0.228254173730886	0.962247002915446	0.69290652821374	0.99601666216953
candidate576	0.0640771566305108	0.962247002915446	0.608499340603456	0.99601666216953
candidate577	0.884897856415143	0.999994678303908	0.0424486629349833	0.703271091328237
candidate578	0.540285998054181	0.999240725923241	0.649919755014861	0.99601666216953
candidate579	0.202942816922387	0.962247002915446	0.795386414871855	0.99601666216953
candidate58	0.731576643224503	0.999994678303908	0.409449368514113	0.96381535756926
candidate580	0.137806082962697	0.962247002915446	0.942192441683704	0.99601666216953
candidate581	0.540644410769442	0.999240725923241	0.355119975457006	0.96381535756926
candidate584	0.491517600254788	0.999240725923241	0.652188717374085	0.99601666216953
candidate585	0.707244675874865	0.999240725923241	0.453199573833944	0.96381535756926
candidate586	0.528947662862549	0.999240725923241	0.348451838955319	0.96381535756926
candidate587	0.670815311075953	0.999240725923241	0.34924762624691	0.96381535756926
candidate588	0.960865777523649	0.999994678303908	0.100417939765052	0.905238192293776
candidate589	0.513860125789071	0.999240725923241	0.26370824285512	0.96381535756926
candidate59	0.585645182171426	0.999240725923241	0.488113902449165	0.96381535756926
candidate590	0.116084023101776	0.962247002915446	0.889696826702657	0.99601666216953
candidate591	0.147249878048911	0.962247002915446	0.492858316714581	0.96381535756926
candidate592	0.582709511923657	0.999240725923241	0.542995720070499	0.978251471144728
candidate593	0.644473359803801	0.999240725923241	0.50679271357405	0.96780041564141
candidate594	0.364032016572693	0.962247002915446	0.63589459068665	0.99601666216953
candidate595	0.545636302349637	0.999240725923241	0.621909388384823	0.99601666216953
candidate596	0.479289157647287	0.999240725923241	0.655953010702307	0.99601666216953
candidate597	0.445724916045921	0.999240725923241	0.445607700983785	0.96381535756926
candidate598	0.698435661343503	0.999240725923241	0.43665258703916	0.96381535756926
candidate599	0.305865411018942	0.962247002915446	0.62216211944426	0.99601666216953
candidate6	0.961518206835516	0.999994678303908	0.0926984549423557	0.905106345331804
candidate60	0.865688208865935	0.999994678303908	0.267657226792229	0.96381535756926
candidate600	0.535902051157403	0.999240725923241	0.358175141251928	0.96381535756926
candidate601	0.692231863031947	0.999240725923241	0.414207867466215	0.96381535756926
candidate602	0.652039851729426	0.999240725923241	0.502601303160572	0.965780875606186
candidate603	0.177098074913048	0.962247002915446	0.919974921493645	0.99601666216953
candidate604	0.924448329977601	0.999994678303908	0.154286644066206	0.96381535756926
candidate605	0.0866946215171686	0.962247002915446	0.965850030785654	0.99601666216953
candidate606	0.58551294032733	0.999240725923241	0.605858741442374	0.99601666216953
candidate607	0.114314291799469	0.962247002915446	0.63990872725474	0.99601666216953
candidate608	0.886985034796312	0.999994678303908	0.223336293094911	0.96381535756926
candidate609	0.434191389800358	0.989439858541335	0.608804970082559	0.99601666216953
candidate61	0.740682827290224	0.999994678303908	0.385261429231895	0.96381535756926
candidate610	0.830837057265239	0.999994678303908	0.251633697691563	0.96381535756926
candidate612	0.256366758165302	0.962247002915446	0.851896386310516	0.99601666216953
candidate613	0.184254083665946	0.962247002915446	0.870929944002448	0.99601666216953
candidate614	0.55341504886578	0.999240725923241	0.476553372709845	0.96381535756926
candidate615	0.183605652139513	0.962247002915446	0.889846345828253	0.99601666216953
candidate616	0.51943737785737	0.999240725923241	0.442326378310182	0.96381535756926
candidate617	0.668832497805131	0.999240725923241	0.478452811154943	0.96381535756926
candidate619	0.352298775706639	0.962247002915446	0.784333454463454	0.99601666216953
candidate62	0.930209143275268	0.999994678303908	0.158198007885855	0.96381535756926
candidate620	0.910752483212408	0.999994678303908	0.118151504827829	0.952985163940253
candidate621	0.669317429285227	0.999240725923241	0.489300982381491	0.96381535756926
candidate622	0.121344462953435	0.962247002915446	0.322420477817799	0.96381535756926
candidate623	0.179224008895884	0.962247002915446	0.873261390814778	0.99601666216953
candidate624	0.854248494529178	0.999994678303908	0.0847853532951564	0.905106345331804
candidate625	0.604936294849839	0.999240725923241	0.553221395489314	0.978251471144728
candidate626	0.45136620779782	0.999240725923241	0.632525108383473	0.99601666216953
